timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix)
1481988810.47,0.062322,0.163214,-0.494410,-0.149529,0.423194,-0.052543,0.061454,-0.162490,-0.984795,0.014718,-0.048264,-0.042442,-5.744898,-21.624592,-38.783447,,,,,,
1481988810.52,0.061944,0.152708,-0.493517,0.044094,-0.016064,0.073528,0.061184,-0.152115,-0.986467,0.020726,-0.009445,-0.104323,-5.770109,-21.259296,-38.981163,,,,,,
1481988810.57,0.061899,0.158035,-0.489296,-0.010685,-0.125851,0.099989,0.061088,-0.157378,-0.985647,-0.011680,0.001357,-0.014231,-5.816491,-21.442299,-38.873886,,,,,,
1481988810.62,0.053035,0.158557,-0.485685,0.061834,0.005798,0.010619,0.052345,-0.157893,-0.986068,-0.034355,0.000499,-0.013978,-6.050725,-21.410732,-38.855526,,,,,,
1481988810.67,0.053397,0.160706,-0.485234,0.081674,0.034640,0.021075,0.052684,-0.160015,-0.985708,-0.009898,-0.018483,-0.003138,-6.261441,-21.463469,-38.792995,,,,,,
1481988810.71,0.052356,0.164596,-0.483437,0.026761,-0.019466,0.050888,0.051625,-0.163853,-0.985133,-0.000523,-0.018733,-0.012624,-6.301579,-21.562201,-38.731701,,,,,,
1481988810.76,0.052640,0.170115,-0.478492,0.143316,0.129357,0.122190,0.051856,-0.169296,-0.984200,-0.000266,0.011261,-0.029960,-6.358721,-21.834452,-38.569496,,,,,,
1481988810.81,0.056691,0.181033,-0.475629,0.110272,0.056135,0.031458,0.055735,-0.180045,-0.982078,-0.015040,-0.015679,0.020698,-6.244326,-22.115650,-38.427711,,,,,,
1481988810.86,0.053207,0.182251,-0.474367,-0.039172,-0.010280,0.015544,0.052301,-0.181244,-0.982046,0.020056,-0.031220,0.025915,-6.439187,-22.247150,-38.319496,,,,,,
1481988810.91,0.055015,0.180461,-0.471973,-0.026907,0.046452,0.031979,0.054094,-0.179483,-0.982273,-0.012895,-0.011496,0.001483,-6.413012,-22.157301,-38.375904,,,,,,
1481988810.95,0.056255,0.179316,-0.471306,-0.006825,0.035448,0.012527,0.055323,-0.178357,-0.982409,0.003530,-0.007587,-0.038999,-6.406010,-22.130795,-38.392365,,,,,,
1481988811.00,0.057203,0.180128,-0.470196,-0.003140,0.047500,0.018444,0.056247,-0.179155,-0.982212,-0.014728,-0.006788,-0.002972,-6.362255,-22.124989,-38.402988,,,,,,
1481988811.05,0.054324,0.179079,-0.470150,-0.040100,-0.053704,-0.027572,0.053429,-0.178123,-0.982557,-0.000847,-0.015343,-0.020175,-6.438439,-22.074409,-38.419392,,,,,,
1481988811.10,0.053825,0.181028,-0.470117,0.045566,0.030126,0.014320,0.052920,-0.180041,-0.982235,-0.002917,-0.013303,0.010021,-6.476870,-22.101360,-38.397430,,,,,,
1481988811.15,0.052522,0.180655,-0.469611,0.018296,0.053527,-0.028786,0.051644,-0.179674,-0.982370,-0.007714,0.001116,-0.023978,-6.510179,-22.165161,-38.355000,,,,,,
1481988811.19,0.057522,0.188242,-0.473838,0.425436,0.131530,-0.164130,0.056475,-0.187132,-0.980710,0.010694,0.044005,-0.106021,-6.339698,-22.368748,-38.265259,,,,,,
1481988811.24,0.079149,0.237243,-0.492555,1.173156,0.395724,-0.392382,0.076852,-0.235024,-0.968947,-0.000237,-0.009605,0.165281,-5.820743,-23.387627,-37.734871,,,,,,
1481988811.29,0.073853,0.248373,-0.509843,-0.253586,-0.609165,-0.236616,0.071521,-0.245827,-0.966672,0.003384,-0.031807,-0.031803,-4.970395,-25.061619,-36.769459,,,,,,
