timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix)
1482102270.74,0.019907,0.272739,-0.231316,-0.037014,0.013996,0.009711,0.019170,-0.269370,-0.962846,-0.000753,0.000205,-0.001479,19.757311,23.353794,-49.491795,,,,,,
1482102270.83,0.021180,0.273012,-0.230604,-0.041952,0.028628,-0.005944,0.020394,-0.269633,-0.962747,0.001671,-0.010748,-0.012213,19.847597,23.354347,-49.455395,,,,,,
1482102270.92,0.022910,0.273158,-0.230439,-0.009491,-0.026205,0.010766,0.022059,-0.269774,-0.962671,-0.009317,-0.015916,-0.022116,19.974995,23.362591,-49.400177,,,,,,
1482102271.01,0.023301,0.274513,-0.230393,0.001693,0.029438,-0.004050,0.022426,-0.271078,-0.962296,-0.004101,-0.006784,-0.025924,19.977995,23.275635,-49.439999,,,,,,
1482102271.10,0.025289,0.276330,-0.230732,-0.019511,-0.011600,0.013253,0.024327,-0.272827,-0.961756,-0.004979,-0.004319,-0.003592,20.087996,23.201160,-49.430428,,,,,,
1482102271.19,0.027370,0.276961,-0.230317,0.073881,0.101434,-0.002841,0.026323,-0.273434,-0.961531,0.007506,-0.014485,-0.026293,20.097553,23.231976,-49.412067,,,,,,
1482102271.29,0.036954,0.281530,-0.231257,0.019157,0.074145,-0.021302,0.035491,-0.277826,-0.959976,-0.002257,0.004663,-0.012772,20.539206,22.929211,-49.371864,,,,,,
1482102271.38,0.050770,0.291731,-0.230774,0.117081,0.190443,0.049205,0.048604,-0.287610,-0.956513,0.001185,-0.004275,0.003327,21.067131,22.631601,-49.286667,,,,,,
1482102271.47,0.055980,0.293792,-0.229194,0.012896,0.063259,-0.010313,0.053554,-0.289584,-0.955653,-0.000880,-0.004560,-0.016743,21.645815,22.297922,-49.187904,,,,,,
1482102271.56,0.059271,0.293695,-0.229204,-0.016975,0.036881,-0.009795,0.056700,-0.289491,-0.955500,0.000811,-0.000884,0.009211,21.783440,22.294992,-49.128441,,,,,,
1482102271.65,0.061092,0.296876,-0.230501,-0.025543,-0.050231,-0.004468,0.058384,-0.292534,-0.954471,0.001843,0.001366,0.016025,21.888180,22.163305,-49.141472,,,,,,
1482102271.74,0.059529,0.294731,-0.230430,-0.026877,0.022472,-0.018032,0.056928,-0.290483,-0.955185,-0.004591,-0.005813,0.002472,21.786140,22.251305,-49.147049,,,,,,
1482102271.83,0.060155,0.292979,-0.231262,0.000589,-0.046872,0.006030,0.057557,-0.288806,-0.955656,0.008651,-0.003019,-0.003237,21.853096,22.321823,-49.085304,,,,,,
1482102271.92,0.055556,0.293619,-0.232525,0.010710,-0.066260,-0.013262,0.053151,-0.289418,-0.955726,0.003169,0.007741,0.012412,21.597698,22.368843,-49.176853,,,,,,
1482102272.01,0.049786,0.294179,-0.233902,-0.014309,-0.034564,-0.011901,0.047627,-0.289954,-0.955855,-0.007313,-0.001458,-0.006151,21.196405,22.356335,-49.356815,,,,,,
1482102272.10,0.049700,0.292542,-0.233745,-0.048137,-0.019822,0.011314,0.047569,-0.288387,-0.956332,0.001473,-0.001027,0.020876,21.185682,22.416948,-49.333923,,,,,,
1482102272.19,0.051361,0.292546,-0.234150,0.024200,0.031645,-0.006618,0.049158,-0.288391,-0.956250,0.005927,0.006973,0.002850,21.237713,22.459444,-49.292210,,,,,,
1482102272.28,0.046670,0.287477,-0.234344,-0.076711,-0.051043,0.005836,0.044739,-0.283534,-0.957918,-0.011108,-0.012044,-0.007292,21.078888,22.626789,-49.283844,,,,,,
1482102272.37,0.048734,0.288945,-0.234655,-0.039348,-0.039290,0.011343,0.046695,-0.284941,-0.957407,-0.001407,0.001143,0.024698,21.101332,22.642029,-49.267242,,,,,,
1482102272.46,0.046108,0.289778,-0.234167,-0.014403,0.012625,-0.009667,0.044170,-0.285740,-0.957289,-0.005687,0.001148,0.009336,20.996975,22.596663,-49.332607,,,,,,
1482102272.55,0.047692,0.290967,-0.234448,0.022918,0.024347,0.004266,0.045670,-0.286878,-0.956878,-0.004838,-0.005968,0.002013,21.057337,22.549198,-49.328598,,,,,,
1482102272.65,0.049131,0.292902,-0.235154,-0.004446,0.008881,-0.003752,0.047019,-0.288732,-0.956255,-0.002708,0.004949,0.025026,21.111769,22.448484,-49.351265,,,,,,
1482102272.74,0.052407,0.294402,-0.235544,0.004216,0.051191,-0.007666,0.050129,-0.290167,-0.955662,-0.011341,0.004630,0.020253,21.249149,22.386524,-49.320442,,,,,,
1482102272.83,0.056464,0.295851,-0.236532,0.004330,-0.012997,-0.002552,0.053982,-0.291554,-0.955030,-0.001339,0.002034,0.009717,21.438675,22.333479,-49.262436,,,,,,
1482102272.92,0.057218,0.296482,-0.236442,0.024151,0.076459,-0.014045,0.054692,-0.292158,-0.954805,-0.012608,0.009412,0.014742,21.434401,22.294636,-49.281887,,,,,,
1482102273.01,0.063866,0.301542,-0.237539,0.069102,0.034865,-0.005975,0.060943,-0.296993,-0.952933,0.002594,-0.000523,0.017173,21.686773,22.157906,-49.233116,,,,,,
1482102273.10,0.065147,0.303048,-0.237966,0.006747,0.018447,-0.000320,0.062135,-0.298430,-0.952407,-0.003449,0.012648,0.034423,21.807173,21.984114,-49.257839,,,,,,
1482102273.19,0.063588,0.303028,-0.237720,0.010636,-0.019098,-0.009776,0.060650,-0.298412,-0.952508,0.002140,0.000896,0.006662,21.752604,21.993309,-49.277859,,,,,,
1482102273.28,0.064472,0.303392,-0.238041,0.005553,0.020888,-0.007483,0.061485,-0.298759,-0.952346,0.000100,0.002265,0.020522,21.761686,21.979950,-49.279808,,,,,,
1482102273.37,0.063690,0.304427,-0.237958,0.004288,0.002673,0.004689,0.060721,-0.299747,-0.952085,0.002130,0.009982,0.016110,21.724319,21.911688,-49.326672,,,,,,
1482102273.46,0.062979,0.302145,-0.238164,-0.028055,0.003021,-0.011768,0.060087,-0.297569,-0.952807,-0.009061,-0.001762,0.023471,21.696627,22.004551,-49.297516,,,,,,
1482102273.55,0.062220,0.301064,-0.239139,-0.041750,-0.013844,-0.010281,0.059383,-0.296536,-0.953174,0.002262,0.018140,0.038653,21.631340,22.065058,-49.299156,,,,,,
1482102273.64,0.060345,0.301056,-0.239546,0.006863,-0.011876,-0.004866,0.057596,-0.296529,-0.953285,0.005423,0.010122,0.021004,21.517559,22.116161,-49.326050,,,,,,
1482102273.73,0.058969,0.299731,-0.239303,-0.014461,0.017257,0.001323,0.056308,-0.295263,-0.953755,-0.008181,0.006369,0.035039,21.442556,22.163670,-49.337383,,,,,,
1482102273.82,0.058218,0.299410,-0.239738,-0.004401,-0.014302,-0.001060,0.055596,-0.294957,-0.953892,-0.002603,0.004475,0.028278,21.410946,22.197523,-49.335888,,,,,,
1482102273.91,0.058601,0.299588,-0.240331,-0.008223,-0.016788,0.007474,0.055959,-0.295126,-0.953818,0.006205,0.005866,0.028434,21.408184,22.210182,-49.331390,,,,,,
1482102274.01,0.057956,0.299650,-0.240675,0.003053,0.030436,-0.021772,0.055343,-0.295186,-0.953836,-0.002578,0.013387,0.029473,21.336544,22.209532,-49.362709,,,,,,
1482102274.10,0.056150,0.300112,-0.240818,0.001728,-0.009716,0.001347,0.053612,-0.295627,-0.953798,-0.005974,0.004550,0.017595,21.298704,22.212975,-49.377502,,,,,,
1482102274.19,0.056101,0.300419,-0.240616,-0.014496,-0.004730,0.001523,0.053561,-0.295920,-0.953710,-0.002596,-0.001992,0.015020,21.276266,22.186100,-49.399254,,,,,,
1482102274.28,0.055830,0.300111,-0.241361,-0.028145,-0.065291,0.004431,0.053306,-0.295627,-0.953815,0.010002,0.008258,0.031620,21.252079,22.179754,-49.412510,,,,,,
1482102274.37,0.053388,0.298749,-0.241085,-0.008299,0.007207,-0.004576,0.050999,-0.294325,-0.954344,0.004696,0.010252,0.016691,21.098482,22.241283,-49.450661,,,,,,
1482102274.46,0.050757,0.300002,-0.241969,0.001799,-0.045041,-0.011624,0.048469,-0.295522,-0.954106,-0.001335,-0.002039,0.029713,20.993345,22.262953,-49.485645,,,,,,
1482102274.55,0.049380,0.299223,-0.241993,-0.009613,0.001004,0.005152,0.047167,-0.294777,-0.954401,0.003630,0.003624,0.021891,20.877056,22.256561,-49.537693,,,,,,
1482102274.64,0.049170,0.298781,-0.242146,0.011682,-0.028308,-0.003348,0.046973,-0.294355,-0.954541,0.005410,-0.003130,0.008984,20.882153,22.306782,-49.512947,,,,,,
1482102274.73,0.048678,0.297097,-0.242023,-0.024586,0.010695,-0.001828,0.046527,-0.292746,-0.955058,-0.003451,0.000326,0.014186,20.848104,22.364998,-49.501034,,,,,,
1482102274.82,0.050563,0.296426,-0.242674,-0.003385,0.006865,0.000338,0.048337,-0.292104,-0.955164,0.004031,0.005727,0.022913,20.902317,22.397400,-49.463505,,,,,,
1482102274.91,0.050638,0.295537,-0.242559,-0.012133,0.011724,0.002883,0.048422,-0.291254,-0.955419,-0.005957,0.002954,0.013342,20.915119,22.441410,-49.438137,,,,,,
1482102275.00,0.047686,0.294040,-0.242533,-0.014554,-0.034281,0.007942,0.045622,-0.289821,-0.955993,0.002093,-0.002918,0.028411,20.806149,22.501675,-49.456718,,,,,,
1482102275.09,0.047005,0.294538,-0.243087,-0.005888,0.015270,0.002838,0.044964,-0.290298,-0.955879,0.007556,-0.003342,0.013512,20.693668,22.512547,-49.498955,,,,,,
1482102275.18,0.044801,0.294983,-0.243732,0.007956,-0.041755,0.002935,0.042852,-0.290724,-0.955847,-0.008718,-0.001451,0.022894,20.664812,22.501640,-49.515961,,,,,,
1482102275.28,0.041336,0.295650,-0.244068,0.000561,-0.058640,-0.002863,0.039531,-0.291362,-0.955796,-0.002865,0.005885,0.035157,23.305487,18.431419,-46.555752,,,,,,
1482102275.37,0.039118,0.296760,-0.243136,-0.027090,0.005718,0.011619,0.037398,-0.292424,-0.955557,-0.010146,0.004994,0.023123,23.224985,18.356701,-46.625450,,,,,,
1482102275.46,0.041542,0.295775,-0.243232,-0.015778,-0.006460,0.004366,0.039726,-0.291481,-0.955751,0.012123,-0.000893,0.034807,23.327879,18.401699,-46.556293,,,,,,
1482102275.55,0.041969,0.295857,-0.243752,-0.029465,0.007024,-0.007566,0.040134,-0.291560,-0.955710,0.007352,0.006022,0.019050,23.318350,18.417103,-46.554977,,,,,,
1482102275.64,0.041084,0.296026,-0.243526,-0.003236,0.035893,-0.016402,0.039286,-0.291721,-0.955696,-0.006052,0.017185,0.037346,23.276712,18.385090,-46.588455,,,,,,
1482102275.73,0.042393,0.296158,-0.244509,-0.006931,-0.029520,0.002003,0.040535,-0.291847,-0.955606,0.001487,0.004311,0.029519,23.329218,18.459873,-46.532589,,,,,,
1482102275.82,0.042962,0.296148,-0.244982,-0.008112,-0.005243,-0.006472,0.041079,-0.291838,-0.955585,0.008939,0.002394,0.016697,23.321501,18.426493,-46.549686,,,,,,
1482102275.91,0.043299,0.296093,-0.245585,-0.013083,0.000877,-0.012458,0.041401,-0.291785,-0.955587,-0.001072,0.004279,0.030020,23.318846,18.432596,-46.548599,,,,,,
1482102276.00,0.044279,0.297133,-0.246202,-0.011813,0.042114,-0.018636,0.042324,-0.292780,-0.955243,-0.002850,0.010126,0.026013,23.346695,18.391006,-46.551086,,,,,,
1482102276.09,0.044586,0.296687,-0.246248,-0.027986,0.020483,-0.002648,0.042623,-0.292354,-0.955360,-0.004064,0.010234,0.048042,23.373447,18.430576,-46.522003,,,,,,
1482102276.18,0.043123,0.296195,-0.246494,0.009418,0.020137,0.000507,0.041232,-0.291883,-0.955565,-0.006778,-0.001971,0.026045,23.302589,18.479481,-46.538147,,,,,,
1482102276.27,0.040837,0.295109,-0.246177,-0.011575,-0.018298,-0.007439,0.039061,-0.290844,-0.955973,-0.010420,0.007504,0.042749,23.255421,18.509094,-46.549973,,,,,,
1482102276.36,0.038549,0.297013,-0.247192,-0.000267,-0.060782,-0.004972,0.036852,-0.292665,-0.955505,0.003293,0.015077,0.053619,23.068468,18.431328,-46.673687,,,,,,
