timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix)
1482007117.15,0.022535,0.149602,-0.036640,0.025972,0.029488,0.014394,0.022281,-0.149045,-0.988579,-0.003162,-0.008899,-0.045417,23.308435,3.505968,-38.843266,,,,,,
,,,,,,,,,,,,,,,,48.210426,16.374546,178.995361,-1.000000,-1.000000,1482007117.13
1482007117.20,0.021880,0.149944,-0.036153,0.042213,0.018446,0.015451,0.021633,-0.149383,-0.988543,-0.003170,-0.001069,-0.035841,23.300117,3.480404,-38.850552,,,,,,
,,,,,,,,,,,,,,,,48.210426,16.374546,178.995361,-1.000000,-1.000000,1482007109.45
,,,,,,,,,,,,,,,,48.210426,16.374546,178.995361,-1.000000,-1.000000,1482007117.17
,,,,,,,,,,,,,,,,48.210426,16.374546,178.995361,-1.000000,-1.000000,1482007117.17
1482007117.25,0.022273,0.151612,-0.036394,0.028624,0.021086,-0.010876,0.022015,-0.151032,-0.988284,-0.004025,-0.006606,-0.012250,23.309982,3.411581,-38.850739,,,,,,
1482007117.30,0.021634,0.152860,-0.037392,0.000273,-0.054823,-0.041468,0.021380,-0.152265,-0.988108,-0.011324,-0.005877,-0.005513,23.327732,3.385512,-38.842365,,,,,,
1482007117.35,0.019983,0.152618,-0.039557,0.020240,0.009250,-0.072100,0.019750,-0.152026,-0.988179,-0.015904,0.005832,-0.025554,23.246460,3.410061,-38.888916,,,,,,
1482007117.39,0.017404,0.151801,-0.044020,0.016800,-0.018420,-0.124883,0.017203,-0.151218,-0.988351,-0.024054,0.010120,-0.007346,23.134897,3.489914,-38.948311,,,,,,
1482007117.44,0.014926,0.151145,-0.050952,0.024500,0.001040,-0.178025,0.014756,-0.150570,-0.988489,-0.022431,0.012875,-0.010397,22.950321,3.684843,-39.039452,,,,,,
1482007117.49,0.015409,0.151862,-0.060116,0.003412,-0.030215,-0.187250,0.015231,-0.151279,-0.988374,-0.001559,0.001956,-0.013076,22.846060,3.875691,-39.082104,,,,,,
1482007117.54,0.015449,0.152143,-0.068770,0.012084,-0.031534,-0.174112,0.015270,-0.151557,-0.988331,0.008518,-0.006006,-0.016415,22.746565,4.065618,-39.120819,,,,,,
