date,permits
200804,48190
200805,46463
200806,45015
200807,41967
200808,35952
200809,33686
200810,30379
200811,19902
200812,19092
200901,17688
200902,20583
200903,25247
200904,29590
200905,30440
200906,36978
200907,35879
200908,33127
200909,31473
200910,29750
200911,25499
200912,28325
201001,25937
201002,29220
201003,40960
201004,36869
201005,30973
201006,33766
201007,29659
201008,29138
201009,26894
201010,24660
201011,22848
201012,24195
201101,21514
201102,22022
201103,31065
201104,29534
201105,31772
201106,32963
201107,28353
201108,32999
201109,28392
201110,26837
201111,25146
201112,24857
201201,25271
201202,29511
201203,34887
201204,36189
201205,40956
201206,39931
201207,38773
201208,41476
201209,35068
201210,40535
201211,33492
201212,30999
201301,35394
201302,36712
201303,44055
201304,49753
201305,51389
201306,47882
201307,48875
201308,47784
201309,41422
201310,44763
201311,36137
201312,34228
201401,36984
201402,36936
201403,45315
201404,49724
201405,50448
201406,51929
201407,51208
201408,46885
201409,45911
201410,47639
201411,36031
201412,41321
201501,38165
201502,38719
201503,50010
201504,54425
201505,52081
201506,58541
201507,53682
201508,50829
201509,48978
201510,49262
201511,41131
201512,43744
