"date","year","fips","transactions","transponders","emp","bldgs","wti_eia"
2012-07-01,2012,24003,1309632,758737,241401,84,87.8952380952381
2012-07-01,2012,24017,312519,142914,40184,67,87.8952380952381
2012-07-01,2012,24510,2868274,1951551,329251,8,87.8952380952381
2012-07-01,2012,24015,1865953,1091175,29355,30,87.8952380952381
2012-07-01,2012,24005,4106681,2781129,357093,57,87.8952380952381
2012-07-01,2012,24031,1379962,NA,445294,90,87.8952380952381
2012-08-01,2012,24510,2953782,2050780,330091,9,94.1313043478261
2012-08-01,2012,24003,1329172,797017,241343,69,94.1313043478261
2012-08-01,2012,24005,4295531,2989977,355603,22,94.1313043478261
2012-08-01,2012,24015,1907595,1181256,29798,30,94.1313043478261
2012-08-01,2012,24031,1423802,NA,454868,105,94.1313043478261
2012-08-01,2012,24017,326955,155387,40196,79,94.1313043478261
2012-09-01,2012,24510,2899669,2042921,332563,8,94.5136842105263
2012-09-01,2012,24005,3599701,2510383,364447,47,94.5136842105263
2012-09-01,2012,24031,1267216,NA,454076,80,94.5136842105263
2012-09-01,2012,24015,1601107,1047898,29876,26,94.5136842105263
2012-09-01,2012,24017,267684,131007,40456,50,94.5136842105263
2012-09-01,2012,24003,1113689,684018,243036,80,94.5136842105263
2012-10-01,2012,24005,3590369,2574313,367785,69,89.4913043478261
2012-10-01,2012,24510,2962435,2147391,333813,8,89.4913043478261
2012-10-01,2012,24003,1016962,668287,243359,69,89.4913043478261
2012-10-01,2012,24017,261408,134616,40735,46,89.4913043478261
2012-10-01,2012,24031,1337834,NA,454801,83,89.4913043478261
2012-10-01,2012,24015,1533411,1110641,29932,24,89.4913043478261
2012-11-01,2012,24005,3576610,2533760,369695,46,86.5314285714286
2012-11-01,2012,24003,1015569,666982,244614,78,86.5314285714286
2012-11-01,2012,24017,270300,134422,41174,47,86.5314285714286
2012-11-01,2012,24031,1298832,NA,455367,81,86.5314285714286
2012-11-01,2012,24510,2965319,2128585,334230,8,86.5314285714286
2012-11-01,2012,24015,1621938,1163413,29530,26,86.5314285714286
2012-12-01,2012,24015,1627703,1159274,29618,13,87.8595
2012-12-01,2012,24003,967200,631735,245746,69,87.8595
2012-12-01,2012,24005,3547140,2475261,371050,53,87.8595
2012-12-01,2012,24510,2850777,2012563,332535,7,87.8595
2012-12-01,2012,24031,1248111,NA,457068,79,87.8595
2012-12-01,2012,24017,262146,129965,41464,36,87.8595
2013-01-01,2013,24005,3363872,2454802,352756,22,94.7566666666667
2013-01-01,2013,24510,2805264,2074784,328249,9,94.7566666666667
2013-01-01,2013,24031,1285160,NA,446378,73,94.7566666666667
2013-01-01,2013,24015,1384214,1036012,29082,9,94.7566666666667
2013-01-01,2013,24017,221539,123474,39655,41,94.7566666666667
2013-01-01,2013,24003,879032,606699,244952,117,94.7566666666667
2013-02-01,2013,24005,3121285,2272586,354554,38,95.3089473684211
2013-02-01,2013,24031,1208435,NA,445892,161,95.3089473684211
2013-02-01,2013,24510,2620899,1926713,329809,9,95.3089473684211
2013-02-01,2013,24017,210094,116955,39799,60,95.3089473684211
2013-02-01,2013,24003,816745,561337,245401,103,95.3089473684211
2013-02-01,2013,24015,1289475,969295,29179,16,95.3089473684211
2013-03-01,2013,24005,3121285,2272586,358791,101,92.9385
2013-03-01,2013,24510,2620899,1926713,331430,10,92.9385
2013-03-01,2013,24017,210094,116955,40188,69,92.9385
2013-03-01,2013,24031,1208435,NA,448614,197,92.9385
2013-03-01,2013,24003,816745,561337,247206,135,92.9385
2013-03-01,2013,24015,1289475,969295,29516,15,92.9385
2013-04-01,2013,24003,1038151,692440,251237,151,92.0213636363636
2013-04-01,2013,24510,3025614,2202169,332906,19,92.0213636363636
2013-04-01,2013,24005,3771919,2695996,360081,64,92.0213636363636
2013-04-01,2013,24015,1672413,1223537,30140,24,92.0213636363636
2013-04-01,2013,24031,1491737,NA,451716,202,92.0213636363636
2013-05-01,2013,24017,304779,154015,41122,75,94.5095454545455
2013-05-01,2013,24510,2180949,1518406,333896,29,94.5095454545455
2013-05-01,2013,24031,1584430,NA,454567,123,94.5095454545455
2013-05-01,2013,24015,1826015,1316298,30645,14,94.5095454545455
