"coverage","age","wage","cit","mar","educ","race"
"No Coverage",33,0,"Citizen","Married","HS Degree","White"
"No Coverage",22,0,"Citizen","Married","HS Degree","White"
"No Coverage",28,0,"Citizen","Never Married","HS Degree","White"
"No Coverage",25,0,"Citizen","Married","Less than HS","White"
"No Coverage",42,50000,"Citizen","Married","HS Degree","White"
"No Coverage",51,0,"Citizen","Never Married","HS Degree","Black"
"No Coverage",36,0,"Citizen","Never Married","HS Degree","White"
"No Coverage",26,0,"Citizen","Never Married","Less than HS","Black"
"No Coverage",55,37000,"Citizen","Divorced","Less than HS","White"
"No Coverage",23,9400,"Citizen","Never Married","HS Degree","Black"
"No Coverage",39,18000,"Citizen","Divorced","HS Degree","Black"
"No Coverage",17,0,"Citizen","Never Married","Less than HS","Black"
"No Coverage",22,10000,"Citizen","Never Married","HS Degree","White"
"No Coverage",37,0,"Citizen","Divorced","HS Degree","White"
"No Coverage",64,50000,"Citizen","Married","Graduate Degree","White"
"No Coverage",21,0,"Citizen","Never Married","Less than HS","White"
"No Coverage",20,1000,"Citizen","Never Married","HS Degree","Black"
"No Coverage",56,31200,"Citizen","Never Married","HS Degree","White"
"No Coverage",22,5000,"Non-citizen","Never Married","HS Degree","White"
"No Coverage",25,25000,"Non-citizen","Never Married","HS Degree","White"
"No Coverage",19,0,"Citizen","Never Married","HS Degree","Black"
"No Coverage",45,5000,"Citizen","Never Married","HS Degree","White"
"No Coverage",35,0,"Citizen","Never Married","Graduate Degree","Black"
"No Coverage",41,0,"Citizen","Divorced","Graduate Degree","Black"
"No Coverage",32,11000,"Citizen","Never Married","HS Degree","Black"
"No Coverage",27,20000,"Citizen","Married","HS Degree","Black"
"No Coverage",30,24000,"Citizen","Married","Undergraduate Degree","Black"
"No Coverage",28,0,"Citizen","Married","Less than HS","White"
"No Coverage",27,42000,"Citizen","Married","Less than HS","White"
"No Coverage",27,0,"Citizen","Married","HS Degree","White"
"No Coverage",35,28000,"Citizen","Married","HS Degree","Black"
"No Coverage",29,0,"Citizen","Married","Less than HS","White"
"No Coverage",27,20000,"Citizen","Never Married","Less than HS","White"
"No Coverage",24,0,"Citizen","Never Married","HS Degree","Black"
"No Coverage",20,2500,"Citizen","Never Married","Less than HS","White"
"No Coverage",35,17000,"Citizen","Never Married","HS Degree","White"
"No Coverage",32,28000,"Citizen","Divorced","HS Degree","Black"
"No Coverage",53,17000,"Citizen","Divorced","HS Degree","White"
"No Coverage",54,0,"Citizen","Separated","Less than HS","White"
"No Coverage",51,0,"Citizen","Married","HS Degree","Black"
"No Coverage",22,8000,"Citizen","Never Married","HS Degree","Black"
"No Coverage",54,0,"Citizen","Never Married","Less than HS","Black"
"No Coverage",62,0,"Citizen","Never Married","HS Degree","Black"
"No Coverage",61,0,"Citizen","Never Married","HS Degree","Black"
"No Coverage",61,14400,"Citizen","Married","Less than HS","White"
"No Coverage",58,0,"Citizen","Married","Less than HS","White"
"No Coverage",50,0,"Citizen","Married","HS Degree","White"
"No Coverage",47,6000,"Citizen","Married","HS Degree","White"
"No Coverage",31,23700,"Citizen","Never Married","HS Degree","White"
"No Coverage",34,2000,"Citizen","Married","Less than HS","Black"
"No Coverage",40,0,"Citizen","Never Married","HS Degree","White"
"No Coverage",39,0,"Non-citizen","Married","Less than HS","Other"
"No Coverage",29,0,"Citizen","Never Married","Less than HS","Black"
"No Coverage",53,0,"Citizen","Divorced","Less than HS","White"
"No Coverage",29,0,"Citizen","Separated","Less than HS","White"
"No Coverage",33,0,"Non-citizen","Married","Less than HS","Other"
"No Coverage",30,3000,"Citizen","Married","HS Degree","White"
"No Coverage",57,9600,"Citizen","Never Married","Less than HS","Black"
