"","year","discipline","total.awarded.Female","total.awarded.Male","total.awarded.Unknown Gender","female.ratio"
"1",1966,"Aerospace Engineering",11,2575,NA,0.00425367362722351
"2",1966,"Chemical Engineering",33,4392,NA,0.00745762711864407
"3",1966,"Civil Engineering",33,8102,NA,0.00405654578979717
"4",1966,"Electrical Engineering",53,15395,NA,0.00343086483687209
"5",1966,"Mechanical Engineering",26,10228,NA,0.00253559586502828
"6",1966,"Materials Engineering",10,1375,NA,0.0072202166064982
"7",1966,"Industrial Engineering",16,3564,NA,0.00446927374301676
"8",1966,"Other Engineering",49,6003,NA,0.0080964970257766
"9",1966,"Astronomy",22,163,NA,0.118918918918919
"10",1966,"Chemistry",2250,10895,NA,0.171167744389502
"11",1966,"Physics",325,7206,NA,0.0431549595007303
"12",1966,"Other Physical Sciences",179,1270,NA,0.123533471359558
"13",1966,"Atmospheric Sciences",5,302,NA,0.0162866449511401
"14",1966,"Earth Sciences",204,2212,NA,0.0844370860927152
"15",1966,"Oceanography",7,115,NA,0.0573770491803279
"16",1966,"Mathematics and Statistics",7747,17900,NA,0.302062619409678
"17",1966,"Computer Science",188,714,NA,0.208425720620843
"18",1966,"Agricultural Sciences",210,8364,NA,0.0244926522043387
"19",1966,"Biological Sciences",8786,21011,NA,0.294861898848877
"20",1966,"Medical Sciences",1522,17263,NA,0.0810220920947565
"21",1966,"Other Life Sciences",12107,3886,NA,0.75701869567936
"22",1966,"Psychology",7943,12483,NA,0.388867130128268
"23",1966,"Economics",1347,13414,NA,0.0912539800826502
"24",1966,"Political Science and Public Administration",4185,16138,NA,0.205924322196526
"25",1966,"Sociology",9401,7027,NA,0.572254687119552
"26",1966,"Anthropology",956,942,NA,0.503688092729189
"27",1966,"Linguistics",167,259,NA,0.392018779342723
"28",1966,"Area and Ethnic Studies",795,1034,NA,0.434663750683434
"29",1966,"Other Social Sciences",7210,12192,NA,0.371611174105762
"30",1966,"Science Technologies",715,1909,NA,0.272484756097561
"31",1966,"Engineering Technologies",149,18011,NA,0.00820484581497797
"32",1966,"Health Technologies",8156,687,NA,0.922311432771684
"33",1966,"Interdisciplinary or Other Sciences",9053,18127,NA,0.333075791022811
"34",1966,"History",11096,22156,NA,0.333694213881872
"35",1966,"English and Literature",29500,16648,NA,0.639247638034151
"36",1966,"Foreign Languages",13010,6234,NA,0.676054874246518
"37",1966,"Other Humanities",1725,6521,NA,0.209192335677904
"38",1966,"Religion and Theology",267,5626,NA,0.0453079925335143
"39",1966,"Arts and Music",14727,12678,NA,0.537383689107827
"40",1966,"Architecture and Environmental Design",145,3238,NA,0.0428613656517884
"41",1966,"Other Science/Technical Education",415,6009,NA,0.0646014943960149
"42",1966,"Non-Science Education",118156,54619,NA,0.683872087975691
"43",1966,"Business and Management",18922,87000,NA,0.178640886690206
"44",1966,"Communication and Librarianship",4858,3384,NA,0.589420043678719
"45",1966,"Law",557,13939,NA,0.0384243929359823
"46",1966,"Social Service Professions",3542,2098,NA,0.628014184397163
"47",1966,"Vocational Studies and Home Economics",6369,1073,NA,0.855818328406342
"48",1966,"Other Non-sciences or Unknown Disciplines",48246,61791,NA,0.438452520515827
"97",1967,"Aerospace Engineering",16,2842,NA,0.00559832050384884
"98",1967,"Chemical Engineering",37,4311,NA,0.00850965961361545
"99",1967,"Civil Engineering",50,7939,NA,0.00625860558267618
"100",1967,"Electrical Engineering",53,15411,NA,0.00342731505431971
"101",1967,"Mechanical Engineering",28,10392,NA,0.00268714011516315
"102",1967,"Materials Engineering",9,1517,NA,0.00589777195281782
"103",1967,"Industrial Engineering",21,3750,NA,0.00556881463802705
"104",1967,"Other Engineering",59,6346,NA,0.00921155347384856
"105",1967,"Astronomy",25,197,NA,0.112612612612613
"106",1967,"Chemistry",2236,11211,NA,0.166282442180412
"107",1967,"Physics",393,7634,NA,0.0489597608072754
"108",1967,"Other Physical Sciences",204,1389,NA,0.128060263653484
"109",1967,"Atmospheric Sciences",10,403,NA,0.0242130750605327
"110",1967,"Earth Sciences",243,2454,NA,0.0901001112347052
"111",1967,"Oceanography",6,169,NA,0.0342857142857143
"112",1967,"Mathematics and Statistics",8653,18771,NA,0.315526546091015
"113",1967,"Computer Science",372,1346,NA,0.216530849825378
"114",1967,"Agricultural Sciences",242,9153,NA,0.0257583821181479
"115",1967,"Biological Sciences",9413,23306,NA,0.287692166631009
"116",1967,"Medical Sciences",1631,17567,NA,0.084956766329826
"117",1967,"Other Life Sciences",17898,4159,NA,0.811443079294555
"118",1967,"Psychology",8926,14597,NA,0.379458402414658
"119",1967,"Economics",1555,15101,NA,0.0933597502401537
"120",1967,"Political Science and Public Administration",4853,18310,NA,0.209515175063679
"121",1967,"Sociology",11003,8268,NA,0.570961548440662
"122",1967,"Anthropology",1123,1195,NA,0.484469370146678
"123",1967,"Linguistics",185,249,NA,0.426267281105991
"124",1967,"Area and Ethnic Studies",876,1138,NA,0.434955312810328
"125",1967,"Other Social Sciences",7846,12979,NA,0.376758703481393
"126",1967,"Science Technologies",688,2677,NA,0.20445765230312
"127",1967,"Engineering Technologies",330,23201,NA,0.0140240533763971
"128",1967,"Health Technologies",8698,866,NA,0.909452112086993
"129",1967,"Interdisciplinary or Other Sciences",12227,22056,NA,0.356649068051221
"130",1967,"History",12475,24594,NA,0.336534570665516
"131",1967,"English and Literature",32051,18588,NA,0.632931140030411
"132",1967,"Foreign Languages",14541,6883,NA,0.678724794622853
"133",1967,"Other Humanities",1748,6802,NA,0.204444444444444
"134",1967,"Religion and Theology",282,5542,NA,0.0484203296703297
"135",1967,"Arts and Music",17227,14810,NA,0.537722008927178
"136",1967,"Architecture and Environmental Design",165,3602,NA,0.04380143350146
"137",1967,"Other Science/Technical Education",440,6523,NA,0.0631911532385466
