FMID,State,Zip,Schedule,x,y,Location,Credit,WIC,WICcash,SFMNP,SNAP,Bakedgoods,Cheese,Crafts,Flowers,Eggs,Seafood,Herbs,Vegetables,Honey,Jams,Maple,Meat,Nursery,Nuts,Plants,Poultry,Prepared,Soap,Trees,Wine
1002267,Virginia,23462,June - August Wednesday 5:00 PM to 8:00 PM,-76.135361,36.841885,Other,Y,N,N,N,N,Y,Y,N,Y,Y,Y,N,Y,Y,Y,N,N,N,N,N,N,Y,Y,N,Y
21005876,Georgia,30135,January - February Monday 2:00 AM to 2:00 PM,-84.7689,33.7196,Healthcare Institution,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N
1001666,Michigan,49007,May - October Wednesday 3:00 PM to 7:00 PM,-85.57502,42.29596,Private business parking lot,N,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,N,N
21002563,New York,10029,"July Tuesday 8:00 am to 5:00 pm, Saturday 8:00 am to 8:00 pm August Tuesday 8:00 am to 5:00 pm, Saturday 8:00 am to 4:00 pm September October November",-73.9493,40.7939,Private business parking lot,N,N,Y,Y,Y,Y,N,Y,Y,N,N,Y,Y,Y,Y,N,N,N,Y,N,N,Y,Y,N,N
1003680,Delaware,19801,May - October Monday 4:00 PM to 7:00 PM,-75.534267,39.741993,"On a farm from: a barn, a greenhouse, a tent, a stand, etc",N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N
1004012,District of Columbia,20010,May - November Saturday 9:00 AM to 1:00 PM,-77.032069,38.917076,Local government building grounds,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N
22003671,Pennsylvania,17325,,-77.2316,39.8313,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
1003702,New York,10033,July - November Thursday 8:00 AM to 5:00 PM,-73.9384685,40.8462226,Other,Y,Y,Y,Y,Y,Y,N,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N
21003891,Minnesota,55413,January - December Wednesday 3:00 pm to 7:00 pm,-93.2591,45.0044,"Faith-based institution (e.g., church, mosque, synagogue, temple)",N,Y,Y,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
22002381,Virginia,23219,,-77.4886,37.5583,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
