date,country,users,purpose,detailed_purpose,period,mass,launch,lifetime,site,contractor,min_lifetime,max_lifetime,date
2016-04-25,Denmark,Civil,Earth Observation,Automatic Identification System (AIS),95.9,1,4/25/16,,Guiana Space Center,University of Aalborg,,,2016-04-25
2014-02-06,Multinational,Commercial,Communications,,1436.03,"6,330",2/6/14,15 yrs.,Guiana Space Center,Space Systems/Loral,15.0,15.0,2014-02-06
2016-06-15,Multinational,Commercial,Communications,,1436.1,"1,800",6/15/16,15 yrs.,Cape Canaveral,Boeing Satellite Systems,15.0,15.0,2016-06-15
1997-08-19,Multinational,Commercial,Communications,,1436.07,"3,775",8/19/97,15 yrs.,Xichang Satellite Launch Center,Space Systems/Loral,15.0,15.0,1997-08-19
2015-03-02,Multinational,Commercial,Communications,,1436,"2,000",3/2/15,15 yrs.,Cape Canaveral,Boeing Satellite Systems,15.0,15.0,2015-03-02
2004-03-13,Multinational,Commercial,Communications,,1436.1,"4,143",3/13/04,12 yrs.,Cape Canaveral,Space Systems/Loral,12.0,12.0,2004-03-13
1999-09-26,Multinational,Commercial,Communications,,1436.08,"2,894",9/26/99,15 yrs.,Baikonur Cosmodrome,Lockheed Martin,15.0,15.0,1999-09-26
1999-09-04,Multinational,Commercial,Communications,,1436.06,"3,500",9/4/99,15 yrs.,Guiana Space Center,Lockheed Martin Astro Space,15.0,15.0,1999-09-04
1998-05-09,USA,Military,Earth Observation,Electronic Intelligence,1436.14,"4,500",5/9/98,,Cape Canaveral,TRW Space and Electronics,,,1998-05-09
2003-09-09,USA,Military,Earth Observation,Electronic Intelligence,1436.1,"4,500",9/9/03,,Cape Canaveral,TRW Space and Electronics,,,2003-09-09
2009-01-18,USA,Military,Earth Observation,Electronic Intelligence,1438.8,"5,000",1/18/09,,Cape Canaveral,National Reconnaissance Laboratory (?),,,2009-01-18
2010-11-21,USA,Military,Earth Observation,Electronic Intelligence,1436,"5,000",11/21/10,,Cape Canaveral,National Reconnaissance Laboratory (?),,,2010-11-21
2012-06-29,USA,Military,Earth Observation,Electronic Intelligence,1436.1,"5,000",6/29/12,,Cape Canaveral,National Reconnaissance Laboratory(?),,,2012-06-29
2016-06-11,USA,Military,Earth Observation,Electronic Intelligence,1437.19,"5,000",6/11/16,,Cape Canaveral,National Reconnaissance Laboratory(?),,,2016-06-11
2012-05-03,USA,Military,Communications,,1436.1,"6,169",5/3/12,14 yrs.,Cape Canaveral,Lockheed Martin Space Systems,14.0,14.0,2012-05-03
2013-09-18,USA,Military,Communications,,1436.1,"6,169",9/18/13,14 yrs.,Cape Canaveral,Lockheed Martin Space Systems,14.0,14.0,2013-09-18
2012-09-13,USA,Government,Technology Development,,97.4,3,9/13/12,,Vandenberg AFB,University of Southern California,,,2012-09-13
2012-09-13,USA,Commercial,Technology Development,,97.5,5,9/13/12,,Vandenberg AFB,Aerospace Corporation,,,2012-09-13
2012-09-13,USA,Commercial,Technology Development,,97.6,5,9/13/12,,Vandenberg AFB,Aerospace Corporation,,,2012-09-13
