idx,country,users,purpose,detailed_purpose,period,mass,site,contractor,min_lifetime,max_lifetime,date
0,Denmark,Civil,Earth Observation,Automatic Identification System (AIS),95.9,1.0,Guiana Space Center,University of Aalborg,,,2016-04-25
1,Multinational,Commercial,Communications,,1436.03,6330.0,Guiana Space Center,Space Systems/Loral,15.0,15.0,2014-02-06
2,Multinational,Commercial,Communications,,1436.1,1800.0,Cape Canaveral,Boeing Satellite Systems,15.0,15.0,2016-06-15
3,Multinational,Commercial,Communications,,1436.07,3775.0,Xichang Satellite Launch Center,Space Systems/Loral,15.0,15.0,1997-08-19
4,Multinational,Commercial,Communications,,1436,2000.0,Cape Canaveral,Boeing Satellite Systems,15.0,15.0,2015-03-02
5,Multinational,Commercial,Communications,,1436.1,4143.0,Cape Canaveral,Space Systems/Loral,12.0,12.0,2004-03-13
6,Multinational,Commercial,Communications,,1436.08,2894.0,Baikonur Cosmodrome,Lockheed Martin,15.0,15.0,1999-09-26
7,Multinational,Commercial,Communications,,1436.06,3500.0,Guiana Space Center,Lockheed Martin Astro Space,15.0,15.0,1999-09-04
8,United States,Military,Earth Observation,Electronic Intelligence,1436.14,4500.0,Cape Canaveral,TRW Space and Electronics,,,1998-05-09
9,United States,Military,Earth Observation,Electronic Intelligence,1436.1,4500.0,Cape Canaveral,TRW Space and Electronics,,,2003-09-09
10,United States,Military,Earth Observation,Electronic Intelligence,1438.8,5000.0,Cape Canaveral,National Reconnaissance Laboratory (?),,,2009-01-18
11,United States,Military,Earth Observation,Electronic Intelligence,1436,5000.0,Cape Canaveral,National Reconnaissance Laboratory (?),,,2010-11-21
12,United States,Military,Earth Observation,Electronic Intelligence,1436.1,5000.0,Cape Canaveral,National Reconnaissance Laboratory(?),,,2012-06-29
13,United States,Military,Earth Observation,Electronic Intelligence,1437.19,5000.0,Cape Canaveral,National Reconnaissance Laboratory(?),,,2016-06-11
14,United States,Military,Communications,,1436.1,6169.0,Cape Canaveral,Lockheed Martin Space Systems,14.0,14.0,2012-05-03
15,United States,Military,Communications,,1436.1,6169.0,Cape Canaveral,Lockheed Martin Space Systems,14.0,14.0,2013-09-18
16,United States,Government,Technology Development,,97.4,3.0,Vandenberg AFB,University of Southern California,,,2012-09-13
17,United States,Commercial,Technology Development,,97.5,5.0,Vandenberg AFB,Aerospace Corporation,,,2012-09-13
18,United States,Commercial,Technology Development,,97.6,5.0,Vandenberg AFB,Aerospace Corporation,,,2012-09-13
19,United States,Commercial,Technology Development,,98,5.0,Vandenberg AFB,Aerospace Corporation,2.0,2.0,2013-12-06
20,United States,Commercial,Technology Development,,98,5.0,Vandenberg AFB,Aerospace Corporation,2.0,2.0,2013-12-06
21,United States,Commercial,Technology Development,,97.74,2.0,Vandenberg AFB,Aerospace Corporation,,,2015-10-08
22,United States,Commercial,Technology Development,,97.88,5.0,Dombarovsky Air Base,Aerospace Corporation,3.0,3.0,2014-06-19
23,United States,Commercial,Technology Development,,97.88,5.0,Dombarovsky Air Base,Aerospace Corporation,3.0,3.0,2014-06-19
24,United States,Commercial,Technology Development,,97.4,2.0,Vandenberg AFB,Aerospace Corporation,,,2015-10-08
25,United States,Commercial,Technology Development,,95.19,5.0,Cape Canaveral,Aerospace Corporation,,,2015-05-20
26,United States,Commercial,Technology Development,,95.19,5.0,Cape Canaveral,Aerospace Corporation,,,2015-05-20
27,United States,Commercial,Technology Development,,96.23,2.0,Vandenberg AFB,Aerospace Corporation,,,2016-11-11
28,United States,Commercial,Technology Development,,96.23,2.0,Vandenberg AFB,Aerospace Corporation,,,2016-11-11
29,Multinational,Commercial,Communications,,1436.08,3460.0,Guiana Space Center,EADS Astrium,15.0,15.0,2008-12-20
30,United States,Commercial,Communications,,1436.09,2704.0,Guiana Space Center,Matra Marconi Space-France,15.0,15.0,1998-10-28
31,United States,Government,Earth Observation,Earth Science,96.2,215.0,Vandenberg AFB,Orbital Sciences Corp.,2.0,2.0,2007-04-25
32,Germany,Government,Communications,Automatic Identification System (AIS),97.76,14.0,Satish Dhawan Space Center,German Aerospace Center (DLR),,,2014-06-30
33,Norway,Government,Communications,Automatic Identification System (AIS),97.2,6.0,Satish Dhawan Space Center,Kongsberg Seatex AS/University of Toronto Institute for Aerospace Studies,3.0,3.0,2010-07-12
34,Norway,Government,Communications,Automatic Identification System (AIS),97.27,6.0,Baikonur Cosmodrome,Kongsberg Seatex AS/University of Toronto Institute for Aerospace Studies,3.0,3.0,2014-07-08
35,Russia,Civil,Technology Development,,96.9,,Plesetsk Cosmodrome,TsSKB Progress,,,2013-12-28
36,Russia,Civil,Technology Development,,96.06,53.0,Baikonur Cosmodrome,"Samara State Aerospace University, SGAU",3.0,3.0,2013-04-19
37,Russia,Civil,Technology Development,,94.18,531.0,Vostochny Cosmodrome,Samara State Aerospace University/TsSKB Progress,,,2016-04-27
38,United States,Military,Technology Development,,98,5.0,Vandenberg AFB,US Air Force Institute of Technology,,,2013-12-06
39,United Kingdom/ESA,Commercial/Government,Communications/Technology Development,,1436.09,6650.0,Guiana Space Center,Astrium,15.0,15.0,2013-07-25
40,Algeria,Government,Earth Observation,Optical Imaging,97.7,117.0,Satish Dhawan Space Center,Airbus Defense and Space,5.0,5.0,2016-09-26
41,Algeria,Government,Earth Observation,Optical Imaging,98.4,103.0,Satish Dhawan Space Center,Surrey Satellite Technologies Ltd.,5.0,5.0,2016-09-26
42,Algeria,Government,Technology Development,,98.3,10.0,Satish Dhawan Space Center,Surrey Satellite Technologies Ltd.,,,2016-09-26
43,Algeria,Government,Earth Observation,Optical Imaging,98.2,130.0,Satish Dhawan Space Center,EADS Astrium,5.0,5.0,2010-07-12
44,Spain,Commercial,Communications,,1436.1,4545.0,Baikonur Cosmodrome,EADS Astrium,15.0,15.0,2004-08-04
45,Spain,Commercial,Communications,,1436.08,5465.0,Guiana Space Center,EADS Astrium,15.0,15.0,2009-10-01
46,Spain,Commercial,Communications,,1436.05,6265.0,Guiana Space Center,Space Systems/Loral,15.0,15.0,2013-02-07
47,Spain,Commercial,Communications,,1436.24,2938.0,Guiana Space Center,Orbital Sciences Corp.,15.0,15.0,2014-03-22
48,United States,Commercial,Communications,,1436.1,2783.0,Cape Canaveral,Lockheed Martin Commercial Space Systems,15.0,15.0,1996-09-08
49,United States,Commercial,Communications,,1436.09,2315.0,Cape Canaveral,Lockheed Martin,15.0,15.0,2004-02-05
50,United States,Commercial,Communications,,1436.07,2340.0,Cape Canaveral,Lockheed Martin,15.0,15.0,2004-05-19
51,United States,Commercial,Communications,,1436.08,4200.0,Baikonur Cosmodrome,Lockheed Martin,15.0,15.0,2004-10-14
52,United States,Commercial,Communications,,1436.1,4312.0,Cape Canaveral,Lockheed Martin Commercial Space Systems,15.0,15.0,2004-12-17
53,United States,Commercial,Communications,,1436.1,2081.0,Guiana Space Center,Lockheed Martin Missiles and Space,15.0,15.0,2006-12-08
